time_hour,carrier,flight,air_time,dep_delay,arr_delay,origin,dest,distance,Month,Day,HourOfDay,DayOfWeek
2013-07-02T00:00:00Z,B6,915,315,212,157,JFK,SFO,2586,7,1,20,Mon
2013-07-02T03:00:00Z,B6,1503,200,3,0,JFK,SJU,1598,7,1,23,Mon
2013-07-02T02:00:00Z,B6,234,66,104,110,JFK,BTV,266,7,1,22,Mon
2013-07-02T01:00:00Z,B6,1371,143,193,188,LGA,FLL,1076,7,1,21,Mon
2013-07-02T01:00:00Z,AA,185,297,174,120,JFK,LAX,2475,7,1,21,Mon
2013-07-02T00:00:00Z,B6,165,304,235,186,JFK,PDX,2454,7,1,20,Mon
2013-07-02T00:00:00Z,VX,415,298,287,243,JFK,LAX,2475,7,1,20,Mon
2013-07-02T01:00:00Z,B6,425,140,183,172,JFK,TPA,1005,7,1,21,Mon
2013-07-02T01:00:00Z,B6,1183,126,194,177,JFK,MCO,944,7,1,21,Mon
2013-07-02T02:00:00Z,B6,623,304,135,122,JFK,LAX,2475,7,1,22,Mon
2013-07-02T02:00:00Z,B6,1816,39,142,119,JFK,SYR,209,7,1,22,Mon
2013-07-02T03:00:00Z,B6,839,199,72,68,JFK,BQN,1576,7,1,23,Mon
2013-07-02T01:00:00Z,B6,611,276,219,182,JFK,LAS,2248,7,1,21,Mon
2013-07-01T09:00:00Z,US,1431,87,-1,2,EWR,CLT,529,7,1,5,Mon
2013-07-01T09:00:00Z,UA,332,185,-2,-10,EWR,IAH,1400,7,1,5,Mon
2013-07-01T09:00:00Z,AA,701,155,0,1,JFK,MIA,1089,7,1,5,Mon
2013-07-01T09:00:00Z,B6,939,198,-2,11,JFK,BQN,1576,7,1,5,Mon
2013-07-01T09:00:00Z,UA,651,343,-1,12,EWR,SFO,2565,7,1,5,Mon
2013-07-01T09:00:00Z,UA,1714,188,3,-4,LGA,IAH,1416,7,1,5,Mon
2013-07-01T10:00:00Z,US,1629,37,-11,-10,LGA,PHL,96,7,1,6,Mon
2013-07-01T10:00:00Z,US,2114,38,-9,21,LGA,BOS,184,7,1,6,Mon
2013-07-01T10:00:00Z,US,2161,45,-6,8,LGA,DCA,214,7,1,6,Mon
2013-07-01T10:00:00Z,DL,461,119,-4,-5,LGA,ATL,762,7,1,6,Mon
2013-07-01T10:00:00Z,EV,4372,154,-3,15,EWR,MSP,1008,7,1,6,Mon
2013-07-01T10:00:00Z,EV,4424,69,-3,-3,EWR,RDU,416,7,1,6,Mon
2013-07-01T10:00:00Z,EV,6177,47,-3,3,EWR,IAD,212,7,1,6,Mon
2013-07-01T10:00:00Z,AA,301,110,-3,-13,LGA,ORD,733,7,1,6,Mon
2013-07-01T10:00:00Z,MQ,3550,123,-8,18,LGA,ATL,762,7,1,6,Mon
2013-07-01T10:00:00Z,UA,1209,300,-3,-39,EWR,LAX,2454,7,1,6,Mon
2013-07-01T10:00:00Z,MQ,3525,72,-6,13,LGA,RDU,431,7,1,6,Mon
2013-07-01T10:00:00Z,AA,707,186,0,6,LGA,DFW,1389,7,1,6,Mon
2013-07-01T10:00:00Z,B6,27,136,0,5,EWR,MCO,937,7,1,6,Mon
2013-07-01T10:00:00Z,WN,488,201,0,8,EWR,HOU,1411,7,1,6,Mon
2013-07-01T09:00:00Z,UA,597,40,1,-20,EWR,BOS,200,7,1,5,Mon
2013-07-01T10:00:00Z,UA,350,126,1,29,LGA,ORD,733,7,1,6,Mon
2013-07-01T10:00:00Z,DL,1279,140,-3,7,LGA,MEM,963,7,1,6,Mon
2013-07-01T10:00:00Z,B6,2180,44,-5,-6,EWR,BOS,200,7,1,6,Mon
2013-07-01T10:00:00Z,AA,1837,159,-1,4,LGA,MIA,1096,7,1,6,Mon
2013-07-01T10:00:00Z,B6,601,151,-4,2,JFK,FLL,1069,7,1,6,Mon
2013-07-01T10:00:00Z,UA,569,109,5,-10,EWR,ORD,719,7,1,6,Mon
2013-07-01T10:00:00Z,UA,774,154,1,16,EWR,RSW,1068,7,1,6,Mon
2013-07-01T10:00:00Z,UA,303,324,-4,-37,JFK,SFO,2586,7,1,6,Mon
2013-07-01T10:00:00Z,B6,1403,199,-4,-6,JFK,SJU,1598,7,1,6,Mon
2013-07-01T10:00:00Z,DL,1919,145,-3,16,LGA,MSP,1020,7,1,6,Mon
2013-07-01T10:00:00Z,B6,371,150,9,11,LGA,FLL,1076,7,1,6,Mon
2013-07-01T10:00:00Z,WN,3574,103,5,-7,EWR,MDW,711,7,1,6,Mon
2013-07-01T10:00:00Z,EV,4963,150,-9,3,EWR,MSP,1008,7,1,6,Mon
2013-07-01T10:00:00Z,WN,273,107,1,-2,LGA,MDW,725,7,1,6,Mon
2013-07-01T10:00:00Z,UA,1144,130,-4,-15,EWR,MCO,937,7,1,6,Mon
2013-07-01T10:00:00Z,MQ,3267,106,14,17,EWR,ORD,719,7,1,6,Mon
2013-07-01T10:00:00Z,AA,1895,158,0,13,EWR,MIA,1085,7,1,6,Mon
2013-07-01T10:00:00Z,US,1447,87,0,1,JFK,CLT,541,7,1,6,Mon
2013-07-01T10:00:00Z,DL,1743,113,-3,6,JFK,ATL,760,7,1,6,Mon
2013-07-01T10:00:00Z,US,1965,75,3,-3,EWR,CLT,529,7,1,6,Mon
2013-07-01T10:00:00Z,UA,1115,155,0,10,EWR,TPA,997,7,1,6,Mon
2013-07-01T10:00:00Z,UA,428,39,-6,-24,EWR,BOS,200,7,1,6,Mon
2013-07-01T10:00:00Z,UA,329,188,-5,-3,LGA,IAH,1416,7,1,6,Mon
2013-07-01T10:00:00Z,B6,211,280,-4,-9,JFK,LAS,2248,7,1,6,Mon
2013-07-01T10:00:00Z,WN,526,121,1,-23,LGA,STL,888,7,1,6,Mon
2013-07-01T10:00:00Z,EV,4471,88,-2,-10,EWR,CLT,529,7,1,6,Mon
2013-07-01T10:00:00Z,AA,303,111,-2,11,LGA,ORD,733,7,1,6,Mon
2013-07-01T10:00:00Z,B6,1099,143,-2,22,LGA,MCO,950,7,1,6,Mon
2013-07-01T10:00:00Z,MQ,3351,80,18,43,LGA,DTW,502,7,1,6,Mon
2013-07-01T10:00:00Z,EV,4422,53,-1,-21,EWR,PIT,319,7,1,6,Mon
2013-07-01T10:00:00Z,EV,4091,102,-5,-6,EWR,IND,645,7,1,6,Mon
2013-07-01T10:00:00Z,EV,4122,105,-4,-7,EWR,SDF,642,7,1,6,Mon
2013-07-01T10:00:00Z,US,1433,91,0,5,LGA,CLT,544,7,1,6,Mon
2013-07-01T10:00:00Z,B6,929,161,3,11,JFK,RSW,1074,7,1,6,Mon
2013-07-01T10:00:00Z,EV,4241,57,-1,10,EWR,DCA,199,7,1,6,Mon
2013-07-01T10:00:00Z,UA,1402,309,4,-11,JFK,LAX,2475,7,1,6,Mon
2013-07-01T10:00:00Z,AA,413,203,-5,-6,JFK,SJU,1598,7,1,6,Mon
2013-07-01T10:00:00Z,MQ,3599,151,-6,16,LGA,MSP,1020,7,1,6,Mon
2013-07-01T10:00:00Z,UA,1701,159,0,-5,EWR,FLL,1065,7,1,6,Mon
2013-07-01T10:00:00Z,EV,4150,109,2,27,EWR,CVG,569,7,1,6,Mon
2013-07-01T10:00:00Z,UA,485,200,0,-36,EWR,DEN,1605,7,1,6,Mon
2013-07-01T10:00:00Z,B6,318,41,1,2,JFK,BOS,187,7,1,6,Mon
2013-07-01T10:00:00Z,UA,1094,109,2,-11,EWR,ORD,719,7,1,6,Mon
2013-07-01T10:00:00Z,UA,327,116,1,-5,EWR,ATL,746,7,1,6,Mon
2013-07-01T10:00:00Z,UA,1269,141,-1,-12,EWR,PBI,1023,7,1,6,Mon
2013-07-01T10:00:00Z,AA,711,191,-6,5,LGA,DFW,1389,7,1,6,Mon
2013-07-01T11:00:00Z,AA,305,111,-9,-13,LGA,ORD,733,7,1,7,Mon
2013-07-01T10:00:00Z,B6,453,140,1,-7,JFK,PBI,1028,7,1,6,Mon
2013-07-01T11:00:00Z,B6,23,295,-6,-46,JFK,LAX,2475,7,1,7,Mon
2013-07-01T11:00:00Z,US,2116,39,-6,-9,LGA,BOS,184,7,1,7,Mon
2013-07-01T11:00:00Z,US,2163,58,-6,16,LGA,DCA,214,7,1,7,Mon
2013-07-01T11:00:00Z,9E,3879,92,-5,2,EWR,CVG,569,7,1,7,Mon
2013-07-01T10:00:00Z,UA,1138,278,-3,-20,EWR,PHX,2133,7,1,6,Mon
2013-07-01T11:00:00Z,AA,2083,193,-3,-5,EWR,DFW,1372,7,1,7,Mon
2013-07-01T11:00:00Z,DL,1547,124,-3,14,LGA,ATL,762,7,1,7,Mon
2013-07-01T11:00:00Z,DL,1415,254,-3,-28,JFK,SLC,1990,7,1,7,Mon
2013-07-01T10:00:00Z,DL,731,81,58,62,LGA,DTW,502,7,1,6,Mon
2013-07-01T10:00:00Z,UA,1506,269,11,-30,EWR,LAS,2227,7,1,6,Mon
2013-07-01T10:00:00Z,B6,583,144,54,66,JFK,MCO,944,7,1,6,Mon
2013-07-01T11:00:00Z,DL,2285,139,-1,-1,LGA,MCO,950,7,1,7,Mon
2013-07-01T11:00:00Z,UA,1496,309,-6,-37,EWR,SNA,2434,7,1,7,Mon
2013-07-01T11:00:00Z,DL,763,300,0,-23,JFK,LAX,2475,7,1,7,Mon
2013-07-01T10:00:00Z,UA,343,201,11,18,LGA,DEN,1620,7,1,6,Mon
2013-07-01T10:00:00Z,US,334,280,5,-2,EWR,PHX,2133,7,1,6,Mon
2013-07-01T11:00:00Z,WN,1696,121,1,-7,EWR,STL,872,7,1,7,Mon
2013-07-01T11:00:00Z,UA,331,138,1,33,LGA,ORD,733,7,1,7,Mon
2013-07-01T11:00:00Z,EV,5819,38,2,-3,EWR,MHT,209,7,1,7,Mon
2013-07-01T11:00:00Z,B6,3,202,-3,-10,JFK,SJU,1598,7,1,7,Mon
2013-07-01T11:00:00Z,EV,4522,123,-2,14,EWR,BNA,748,7,1,7,Mon
2013-07-01T11:00:00Z,DL,1879,160,3,9,LGA,FLL,1076,7,1,7,Mon
